team,rookie year,last active,years active,max possible,ratio
968,2002,2016,15,15,1
969,2002,2002,1,15,0.066666667
970,2002,2006,5,15,0.333333333
971,2002,2016,15,15,1
972,2002,2016,7,15,0.466666667
973,2002,2016,15,15,1
974,2002,2014,9,15,0.6
975,2002,2010,9,15,0.6
976,2002,2003,2,15,0.133333333
977,2002,2016,8,15,0.533333333
979,2002,2004,3,15,0.2
980,2002,2016,15,15,1
981,2002,2016,14,15,0.933333333
982,2002,2004,3,15,0.2
984,2002,2002,1,15,0.066666667
987,2002,2016,15,15,1
988,2002,2016,13,15,0.866666667
989,2002,2009,8,15,0.533333333
990,2002,2006,4,15,0.266666667
991,2002,2016,15,15,1
992,2002,2004,3,15,0.2
995,2002,2015,12,15,0.8
996,2002,2016,14,15,0.933333333
997,2002,2016,15,15,1
998,2002,2004,3,15,0.2
999,2002,2016,15,15,1
1000,2003,2011,9,14,0.642857143
1001,2003,2014,10,14,0.714285714
1002,2003,2016,14,14,1
1005,2003,2005,3,14,0.214285714
1006,2003,2011,8,14,0.571428571
1007,2003,2008,5,14,0.357142857
1008,2003,2013,9,14,0.642857143
1009,2003,2012,6,14,0.428571429
1010,2003,2004,2,14,0.142857143
1011,2003,2016,14,14,1
1013,2003,2014,9,14,0.642857143
1014,2003,2016,14,14,1
1015,2003,2008,6,14,0.428571429
1016,2003,2004,2,14,0.142857143
1017,2003,2004,2,14,0.142857143
1018,2003,2016,14,14,1
1019,2003,2006,4,14,0.285714286
1020,2003,2005,3,14,0.214285714
1022,2003,2005,3,14,0.214285714
1023,2003,2016,14,14,1
1024,2003,2016,14,14,1
1025,2003,2016,9,14,0.642857143
1026,2003,2011,9,14,0.642857143
1027,2003,2016,14,14,1
1028,2003,2006,4,14,0.285714286
1029,2003,2009,7,14,0.5
1030,2003,2004,2,14,0.142857143
1031,2003,2007,5,14,0.357142857
1033,2003,2015,13,14,0.928571429
1034,2003,2005,3,14,0.214285714
1035,2003,2004,2,14,0.142857143
1036,2003,2004,2,14,0.142857143
1037,2003,2004,2,14,0.142857143
1038,2003,2016,14,14,1
1039,2003,2006,4,14,0.285714286
1040,2003,2006,4,14,0.285714286
1041,2003,2003,1,14,0.071428571
1042,2003,2003,1,14,0.071428571
1043,2003,2004,2,14,0.142857143
1045,2003,2004,2,14,0.142857143
1046,2003,2004,2,14,0.142857143
1047,2003,2011,9,14,0.642857143
1048,2003,2009,7,14,0.5
1049,2003,2005,3,14,0.214285714
1051,2003,2016,14,14,1
1052,2003,2003,1,14,0.071428571
1053,2003,2012,10,14,0.714285714
1054,2003,2007,5,14,0.357142857
1055,2003,2004,2,14,0.142857143
1056,2003,2016,6,14,0.428571429
1057,2003,2008,6,14,0.428571429
1058,2003,2016,14,14,1
1059,2003,2004,2,14,0.142857143
1060,2003,2003,1,14,0.071428571
1062,2003,2007,5,14,0.357142857
1063,2003,2004,2,14,0.142857143
1064,2003,2004,2,14,0.142857143
1065,2003,2016,13,14,0.928571429
1067,2003,2004,2,14,0.142857143
1068,2003,2005,3,14,0.214285714
1069,2003,2003,1,14,0.071428571
1070,2003,2010,8,14,0.571428571
1071,2003,2016,13,14,0.928571429
1072,2003,2016,14,14,1
1073,2003,2016,13,14,0.928571429
1075,2003,2016,13,14,0.928571429
1076,2003,2016,5,14,0.357142857
1077,2003,2003,1,14,0.071428571
1079,2003,2006,4,14,0.285714286
1080,2003,2016,1,14,0.071428571
1081,2003,2004,2,14,0.142857143
1082,2003,2004,2,14,0.142857143
1083,2003,2005,3,14,0.214285714
1084,2003,2006,4,14,0.285714286
1086,2003,2016,14,14,1
1087,2003,2008,6,14,0.428571429
1088,2003,2004,2,14,0.142857143
1089,2003,2016,14,14,1
1090,2003,2003,1,14,0.071428571
1091,2003,2016,14,14,1
1092,2003,2003,1,14,0.071428571
1093,2003,2007,5,14,0.357142857
1094,2003,2016,14,14,1
